2022-07-14T09:07:58
ID	Read	R1_Forward	R1_Reverse	R2_Forward	R2_Reverse	R1_Penalty	R2_Penalty
ERR2061620.642334 7001289F:109:CB97UANXX:1:2207:4614:56776/1	R1	-	+	-	-	0.653846	-
ERR2061620.642394 7001289F:103:C9WFLANXX:3:2301:19543:79706/1	R1	-	+	-	-	0.653846	-
ERR2061620.642524 7001289F:109:CB97UANXX:1:2203:15769:26464/2	R2	-	-	-	+	-	0.526316
ERR2061620.643432 7001289F:109:CB97UANXX:1:1206:8419:41358/1	R1	-	+	-	-	0.764706	-
ERR2061620.798872 7001289F:103:C9WFLANXX:4:1111:14339:65144/1	R1	-	+	-	-	0.777778	-
ERR2061620.798899 7001289F:109:CB97UANXX:1:2301:9324:64761/1	R1	-	+	-	-	0.777778	-
ERR2061620.799540 7001289F:103:C9WFLANXX:3:1312:13323:11443/1	R1	-	+	-	-	0.526316	-
ERR2061620.801506 7001289F:109:CB97UANXX:1:2305:8196:37035/2	R2	-	-	-	+	-	0.526316
ERR2061620.863095 7001289F:109:CB97UANXX:1:2205:10051:38032/2	R2	-	-	-	+	-	1.000000
ERR2061620.863167 7001289F:103:C9WFLANXX:4:2309:9924:96069/1	R1	-	+	-	-	0.904762	-
ERR2061620.863594 7001289F:109:CB97UANXX:1:2203:9144:71283/1	R1	-	+	-	-	0.904762	-
ERR2061620.864032 7001289F:103:C9WFLANXX:3:2207:10872:18075/1	R1	-	+	-	-	0.950000	-
ERR2061620.864237 7001289F:109:CB97UANXX:1:1305:16429:50006/1	R1	-	+	-	-	1.000000	-
ERR2061620.866008 7001289F:109:CB97UANXX:1:1311:5916:20094/1	R1	-	+	-	-	1.000000	-
ERR2061620.2592136 7001289F:103:C9WFLANXX:3:2113:10045:20644/1	R1	-	+	-	-	0.000000	-
ERR2061620.4689488 7001289F:109:CB97UANXX:1:2310:9836:4959/1	R1	-	+	-	-	0.736842	-
ERR2061620.4689546 7001289F:109:CB97UANXX:1:2309:17706:2649/2	R2	-	-	-	+	-	0.736842
ERR2061620.4916023 7001289F:109:CB97UANXX:1:1108:12699:65500/1	R1	-	+	-	-	0.904762	-
ERR2061620.5069910 7001289F:109:CB97UANXX:1:2213:19173:76055/1	R1	-	+	-	-	0.526316	-
ERR2061620.6185087 7001289F:109:CB97UANXX:1:1204:10952:36554/1	R1	+	-	-	-	0.400000	-
ERR2061620.7011678 7001289F:109:CB97UANXX:1:1203:14836:31704/1	R1	-	+	-	-	0.666667	-
ERR2061620.7012646 7001289F:109:CB97UANXX:1:1211:8654:94476/2	R2	-	-	-	+	-	0.666667
ERR2061620.7196916 7001289F:103:C9WFLANXX:4:1203:12074:5621/2	R2	-	-	-	+	-	0.000000
ERR2061620.7209278 7001289F:103:C9WFLANXX:3:1311:11741:61313/1	R1	+	-	-	-	0.302752	-
ERR2061620.7209279 7001289F:103:C9WFLANXX:4:2205:11054:59384/2	R2	-	-	+	-	-	0.345455
ERR2061620.7209280 7001289F:109:CB97UANXX:1:2214:17376:44983/1	R1	+	-	-	-	0.452055	-
ERR2061620.7209281 7001289F:109:CB97UANXX:1:1312:11138:32313/2	R2	-	-	+	-	-	0.302752
ERR2061620.7209282 7001289F:103:C9WFLANXX:4:2202:12602:89235/2	R2	-	-	+	-	-	0.775701
ERR2061620.7209283 7001289F:103:C9WFLANXX:4:1309:13278:87465/1	R1	+	-	-	-	0.500000	-
ERR2061620.7209284 7001289F:103:C9WFLANXX:4:1304:5101:99962/2	R2	-	-	+	-	-	0.446429
ERR2061620.7209285 7001289F:103:C9WFLANXX:4:1115:17900:61087/2	R2	-	-	+	-	-	0.612903
ERR2061620.7209286 7001289F:109:CB97UANXX:1:2209:14491:100137/1	R1	+	-	-	-	0.000000	-
ERR2061620.7209287 7001289F:109:CB97UANXX:1:2213:10301:87840/2	R2	-	-	+	-	-	0.446429
ERR2061620.7209288 7001289F:109:CB97UANXX:1:2305:11305:20480/2	R2	-	-	+	-	-	0.345455
ERR2061620.7209289 7001289F:109:CB97UANXX:1:1106:6217:25387/1	R1	-	+	+	-	0.000000	0.000000
ERR2061620.7209290 7001289F:103:C9WFLANXX:3:2306:10193:29317/1	R1	+	-	-	-	0.433628	-
ERR2061620.7209291 7001289F:103:C9WFLANXX:3:2110:18787:22937/2	R2	-	-	+	-	-	0.681416
ERR2061620.7209292 7001289F:103:C9WFLANXX:3:1302:3509:27127/2	R2	-	-	+	-	-	0.433628
ERR2061620.7209293 7001289F:103:C9WFLANXX:4:2312:16329:5960/2	R2	-	-	+	-	-	0.433628
ERR2061620.7209294 7001289F:109:CB97UANXX:1:1102:10848:90158/2	R2	-	-	+	-	-	0.486726
ERR2061620.7209295 7001289F:109:CB97UANXX:1:1108:18699:26729/1	R1	+	-	-	-	0.840708	-
ERR2061620.7209296 7001289F:109:CB97UANXX:1:1310:10258:51599/1	R1	+	-	-	-	0.433628	-
ERR2061620.7209297 7001289F:109:CB97UANXX:1:1303:9861:88534/2	R2	-	-	+	-	-	0.482143
ERR2061620.7209298 7001289F:109:CB97UANXX:1:1316:1664:20749/1	R1	+	-	-	-	0.000000	-
ERR2061620.7209299 7001289F:109:CB97UANXX:1:1109:16183:59750/2	R2	-	-	+	-	-	0.433628
ERR2061620.7209300 7001289F:109:CB97UANXX:1:1207:9096:2060/1	R1	+	-	-	-	0.446429	-
ERR2061620.7209301 7001289F:109:CB97UANXX:1:2304:4055:22971/1	R1	+	-	-	-	0.446429	-
ERR2061620.7209302 7001289F:109:CB97UANXX:1:2307:7034:17562/1	R1	+	-	-	-	0.433628	-
ERR2061620.7209303 7001289F:109:CB97UANXX:1:2308:15294:32946/2	R2	-	-	+	-	-	0.457944
ERR2061620.7209304 7001289F:103:C9WFLANXX:3:1104:4561:51863/2	R2	-	-	+	-	-	0.000000
ERR2061620.7209305 7001289F:103:C9WFLANXX:3:2313:10833:20760/1	R1	+	-	-	-	0.862069	-
ERR2061620.7209306 7001289F:103:C9WFLANXX:3:1306:7769:96228/1	R1	+	-	-	-	0.000000	-
ERR2061620.7209307 7001289F:103:C9WFLANXX:3:1113:19713:64631/2	R2	-	-	+	-	-	0.000000
ERR2061620.7209308 7001289F:103:C9WFLANXX:3:1112:20895:52771/2	R2	-	-	+	-	-	0.794118
ERR2061620.7209309 7001289F:103:C9WFLANXX:4:2313:10215:11151/1	R1	+	-	-	-	0.672897	-
ERR2061620.7209310 7001289F:103:C9WFLANXX:4:2312:3676:57439/2	R2	-	-	+	-	-	0.000000
ERR2061620.7209311 7001289F:103:C9WFLANXX:4:2207:16512:79525/2	R2	-	-	+	-	-	0.000000
ERR2061620.7209312 7001289F:103:C9WFLANXX:4:2204:20460:42679/2	R2	-	-	+	-	-	0.471698
ERR2061620.7209313 7001289F:103:C9WFLANXX:4:1302:3715:11223/2	R2	-	-	+	-	-	0.471698
ERR2061620.7209314 7001289F:103:C9WFLANXX:4:1203:1821:60946/2	R2	-	-	+	-	-	0.457944
ERR2061620.7209315 7001289F:109:CB97UANXX:1:1105:7629:14617/2	R2	-	-	+	-	-	0.000000
ERR2061620.7209316 7001289F:109:CB97UANXX:1:2314:10371:25517/2	R2	-	-	+	-	-	0.320388
