2022-07-19T15:32:03
ID	Read	R1_Forward	R1_Reverse	R2_Forward	R2_Reverse	R1_Penalty	R2_Penalty
ERR2061621.665741 7001289F:109:CB97UANXX:1:1116:16235:65874/2	R2	-	-	-	+	-	0.526316
ERR2061621.666129 7001289F:109:CB97UANXX:1:1202:14308:65709/1	R1	-	+	-	-	0.526316	-
ERR2061621.717995 7001289F:109:CB97UANXX:1:1305:8645:83318/2	R2	-	-	-	+	-	1.000000
ERR2061621.718464 7001289F:109:CB97UANXX:1:1306:11105:38949/2	R2	-	-	-	+	-	1.000000
ERR2061621.1566567 7001289F:109:CB97UANXX:1:1316:15206:28266/2	R2	-	-	-	+	-	0.894737
ERR2061621.2174754 7001289F:109:CB97UANXX:1:2311:5887:62944/1	R1	-	+	-	-	0.666667	-
ERR2061621.2174809 7001289F:109:CB97UANXX:1:2211:20779:53361/2	R2	-	-	-	+	-	0.777778
ERR2061621.2590554 7001289F:109:CB97UANXX:1:1102:9128:36068/2	R2	-	-	-	+	-	0.860465
ERR2061621.3171642 7001289F:109:CB97UANXX:1:2102:4087:20232/2	R2	-	-	+	-	-	0.000000
ERR2061621.3502698 7001289F:109:CB97UANXX:1:1103:13341:49090/1	R1	-	+	-	-	0.233333	-
ERR2061621.3978428 7001289F:109:CB97UANXX:1:2212:12088:61283/2	R2	-	-	-	+	-	0.736842
ERR2061621.3978511 7001289F:109:CB97UANXX:1:2105:4773:5138/1	R1	-	+	-	-	0.736842	-
ERR2061621.4300426 7001289F:109:CB97UANXX:1:2215:1813:96485/2	R2	-	-	-	+	-	0.850000
ERR2061621.5955285 7001289F:109:CB97UANXX:1:2315:1171:56921/1	R1	-	+	-	-	0.666667	-
ERR2061621.6125238 7001289F:109:CB97UANXX:1:2114:17226:32131/2	R2	-	-	-	+	-	0.000000
ERR2061621.6125239 7001289F:109:CB97UANXX:1:1101:16421:48564/1	R1	+	-	-	-	0.457944	-
ERR2061621.6125240 7001289F:109:CB97UANXX:1:2203:17636:2212/1	R1	+	-	-	-	0.753846	-
ERR2061621.6125241 7001289F:109:CB97UANXX:1:2208:20824:64085/1	R1	+	-	-	-	0.000000	-
ERR2061621.6125242 7001289F:109:CB97UANXX:1:2109:16270:66663/2	R2	-	-	+	-	-	0.550562
ERR2061621.6125243 7001289F:109:CB97UANXX:1:1104:9109:32454/2	R2	-	-	+	-	-	0.884211
ERR2061621.6125244 7001289F:109:CB97UANXX:1:2214:16952:28484/1	R1	-	+	+	-	0.000000	0.471698
ERR2061621.6125245 7001289F:109:CB97UANXX:1:2214:9754:67692/2	R2	-	-	+	-	-	0.518868
ERR2061621.6125246 7001289F:109:CB97UANXX:1:2207:2498:30179/1	R1	+	-	-	-	0.553571	-
ERR2061621.6125247 7001289F:109:CB97UANXX:1:1312:3807:3062/2	R2	-	-	+	-	-	0.446429
ERR2061621.6125248 7001289F:109:CB97UANXX:1:1302:18545:36312/1	R1	+	-	-	-	0.446429	-
ERR2061621.6125249 7001289F:109:CB97UANXX:1:1210:17587:20674/2	R2	-	-	+	-	-	0.446429
ERR2061621.6125250 7001289F:109:CB97UANXX:1:1212:7032:34554/2	R2	-	-	+	-	-	0.387755
ERR2061621.6125251 7001289F:109:CB97UANXX:1:1306:20998:11706/1	R1	+	-	-	-	0.446429	-
ERR2061621.6125252 7001289F:109:CB97UANXX:1:1308:15299:89641/2	R2	-	-	+	-	-	0.446429
ERR2061621.6125253 7001289F:109:CB97UANXX:1:1112:3396:28539/2	R2	-	-	+	-	-	0.535714
ERR2061621.6125254 7001289F:109:CB97UANXX:1:1115:8849:87346/1	R1	+	-	-	-	0.446429	-
ERR2061621.6125255 7001289F:109:CB97UANXX:1:1102:3183:23966/2	R2	-	-	+	-	-	0.520548
ERR2061621.6125256 7001289F:109:CB97UANXX:1:1102:5782:84810/2	R2	-	-	+	-	-	0.568182
ERR2061621.6125257 7001289F:109:CB97UANXX:1:2214:17758:31573/1	R1	+	-	-	-	0.446429	-
ERR2061621.6125258 7001289F:109:CB97UANXX:1:2203:5303:44076/2	R2	-	-	+	-	-	0.345455
ERR2061621.6125259 7001289F:109:CB97UANXX:1:2205:16159:40771/1	R1	+	-	-	-	0.000000	-
ERR2061621.6125260 7001289F:109:CB97UANXX:1:2205:2765:68422/2	R2	-	-	+	-	-	0.787611
ERR2061621.6125261 7001289F:109:CB97UANXX:1:2112:8814:64439/2	R2	-	-	+	-	-	0.772727
ERR2061621.6125262 7001289F:109:CB97UANXX:1:2206:11762:16016/2	R2	-	-	+	-	-	0.446429
ERR2061621.6125263 7001289F:109:CB97UANXX:1:2204:5338:10098/1	R1	+	-	-	+	0.446429	0.248000
ERR2061621.6125264 7001289F:109:CB97UANXX:1:2309:7463:42546/2	R2	-	-	+	-	-	0.457944
ERR2061621.6125265 7001289F:109:CB97UANXX:1:2316:20722:9295/1	R1	+	-	-	-	0.471698	-
ERR2061621.6125266 7001289F:109:CB97UANXX:1:2111:5186:85354/2	R2	-	-	+	-	-	0.862069
ERR2061621.6125267 7001289F:109:CB97UANXX:1:2114:10646:99622/1	R1	+	-	-	-	0.365385	-
ERR2061621.6125268 7001289F:109:CB97UANXX:1:1301:15311:42459/1	R1	+	-	-	-	0.457944	-
ERR2061621.6125269 7001289F:109:CB97UANXX:1:1303:4671:97390/2	R2	-	-	+	-	-	0.759259
ERR2061621.6125270 7001289F:109:CB97UANXX:1:1215:9713:52259/2	R2	-	-	+	-	-	0.000000
ERR2061621.6125271 7001289F:109:CB97UANXX:1:1214:5041:36573/1	R1	+	-	-	-	0.509434	-
ERR2061621.6125272 7001289F:109:CB97UANXX:1:1203:2672:47200/2	R2	-	-	+	-	-	0.471698
ERR2061621.6125273 7001289F:109:CB97UANXX:1:1110:8817:90410/1	R1	+	-	-	-	0.843137	-
ERR2061621.6125274 7001289F:109:CB97UANXX:1:1205:15383:14748/1	R1	+	-	-	-	0.471698	-
ERR2061621.6125275 7001289F:109:CB97UANXX:1:1205:14027:30844/2	R2	-	-	+	-	-	0.457944
ERR2061621.6125276 7001289F:109:CB97UANXX:1:2302:19823:100073/1	R1	+	-	-	-	0.000000	-
ERR2061621.6125277 7001289F:109:CB97UANXX:1:1116:18193:84550/1	R1	+	-	-	-	0.000000	-
ERR2061621.6125278 7001289F:109:CB97UANXX:1:2308:18851:62568/2	R2	-	-	+	-	-	0.000000
ERR2061621.6125279 7001289F:109:CB97UANXX:1:1307:13246:21814/1	R1	+	-	-	+	0.981132	0.429752
ERR2061621.6125280 7001289F:109:CB97UANXX:1:1114:7251:65663/1	R1	+	-	-	+	0.000000	0.000000
ERR2061621.6125281 7001289F:109:CB97UANXX:1:1108:6785:16687/2	R2	-	-	+	-	-	0.302752
ERR2061621.6125282 7001289F:109:CB97UANXX:1:1309:2122:98617/1	R1	+	-	-	-	0.000000	-
ERR2061621.6125283 7001289F:109:CB97UANXX:1:2116:11181:83391/1	R1	+	-	-	-	0.000000	-
ERR2061621.6125284 7001289F:109:CB97UANXX:1:2308:6914:92467/2	R2	-	-	+	-	-	0.457944
ERR2061621.6125285 7001289F:109:CB97UANXX:1:2104:20800:99492/1	R1	+	-	-	+	0.000000	0.541667
ERR2061621.6125286 7001289F:109:CB97UANXX:1:2310:9261:92283/2	R2	-	-	+	-	-	0.558824
ERR2061621.6125288 7001289F:109:CB97UANXX:1:2207:11294:72874/2	R2	-	-	+	-	-	0.302752
ERR2061621.6125289 7001289F:109:CB97UANXX:1:2216:12298:50513/2	R2	-	-	+	-	-	0.524752
ERR2061621.6125290 7001289F:109:CB97UANXX:1:2115:4475:99759/1	R1	-	+	+	-	0.000000	0.605505
ERR2061621.6125291 7001289F:109:CB97UANXX:1:2116:12170:8907/2	R2	-	-	+	-	-	0.417722
ERR2061621.6125292 7001289F:109:CB97UANXX:1:2106:6959:57918/1	R1	+	-	-	-	0.543478	-
ERR2061621.6125293 7001289F:109:CB97UANXX:1:1315:13983:83626/2	R2	-	-	+	-	-	0.636364
ERR2061621.6125294 7001289F:109:CB97UANXX:1:1314:14924:65661/2	R2	-	-	+	-	-	0.000000
ERR2061621.6125295 7001289F:109:CB97UANXX:1:2301:12282:21650/2	R2	-	-	+	-	-	0.345455
ERR2061621.6125296 7001289F:109:CB97UANXX:1:2301:17278:50308/2	R2	-	-	+	-	-	0.000000
ERR2061621.6125297 7001289F:109:CB97UANXX:1:2303:4790:25159/1	R1	+	-	-	-	0.362637	-
ERR2061621.6125298 7001289F:109:CB97UANXX:1:1116:9058:78888/2	R2	-	-	+	-	-	0.578947
ERR2061621.6125299 7001289F:109:CB97UANXX:1:1115:11095:67784/1	R1	-	+	+	-	0.000000	0.471698
ERR2061621.6125300 7001289F:109:CB97UANXX:1:2116:13439:60615/1	R1	+	-	-	+	0.457944	0.000000
ERR2061621.6125301 7001289F:109:CB97UANXX:1:1307:5677:63792/1	R1	-	+	+	-	0.000000	0.413043
ERR2061621.6125302 7001289F:109:CB97UANXX:1:1213:5146:49118/1	R1	-	+	+	-	0.000000	0.000000
ERR2061621.6125303 7001289F:109:CB97UANXX:1:1105:10595:93889/1	R1	+	-	-	-	0.457944	-
ERR2061621.6125304 7001289F:109:CB97UANXX:1:2312:7154:40193/1	R1	+	-	-	-	0.000000	-
ERR2061621.6125305 7001289F:109:CB97UANXX:1:2201:10320:49318/2	R2	-	-	+	-	-	0.457944
ERR2061621.6125306 7001289F:109:CB97UANXX:1:2211:11889:76724/1	R1	+	-	-	-	0.345455	-
ERR2061621.6125307 7001289F:109:CB97UANXX:1:2109:18633:58386/2	R2	-	-	+	-	-	0.726316
ERR2061621.6125308 7001289F:109:CB97UANXX:1:2204:19095:31793/1	R1	+	-	-	-	0.302752	-
ERR2061621.6125309 7001289F:109:CB97UANXX:1:2205:17431:58893/2	R2	-	-	+	-	-	0.000000
ERR2061621.6125310 7001289F:109:CB97UANXX:1:2114:20153:71806/1	R1	+	-	-	-	0.000000	-
ERR2061621.6125311 7001289F:109:CB97UANXX:1:1105:16948:41468/1	R1	-	+	+	-	0.000000	0.446429
ERR2061621.6125312 7001289F:109:CB97UANXX:1:2214:10290:81488/1	R1	-	+	+	-	0.038835	0.759259
ERR2061621.6125313 7001289F:109:CB97UANXX:1:1108:8456:37332/1	R1	+	-	-	-	0.000000	-
ERR2061621.6125314 7001289F:109:CB97UANXX:1:2312:8720:6356/1	R1	+	-	-	-	0.441860	-
ERR2061621.6125315 7001289F:109:CB97UANXX:1:2206:1199:43854/2	R2	-	-	+	-	-	0.675676
ERR2061621.6125318 7001289F:109:CB97UANXX:1:1116:7470:66867/2	R2	-	-	+	-	-	0.433628
