2024-12-30T14:57:11
ID	Read	R1_Forward	R1_Reverse	R2_Forward	R2_Reverse	R1_Penalty	R2_Penalty
ERR2061624.1039195 7001289F:109:CB97UANXX:2:1106:11498:16250/1	R1	-	+	-	+	0.904762	0.904762
ERR2061624.1039442 7001289F:109:CB97UANXX:2:1102:12868:73445/1	R1	-	+	-	+	0.950000	0.950000
ERR2061624.1039503 7001289F:109:CB97UANXX:2:2305:17471:98738/1	R1	-	+	-	+	0.904762	0.904762
ERR2061624.1039840 7001289F:109:CB97UANXX:2:1210:2665:63378/1	R1	-	+	-	+	0.904762	0.904762
ERR2061624.3147510 7001289F:109:CB97UANXX:2:2313:6377:26175/1	R1	-	+	-	+	0.850000	0.850000
ERR2061624.5759110 7001289F:109:CB97UANXX:2:1302:18315:62673/1	R1	-	+	-	+	0.736842	0.736842
ERR2061624.7489864 7001289F:109:CB97UANXX:2:2115:1809:99182/1	R1	+	-	+	-	0.250000	0.250000
ERR2061624.8861574 7001289F:109:CB97UANXX:2:1215:8461:6339/1	R1	+	-	+	-	0.000000	0.000000
ERR2061624.8861575 7001289F:109:CB97UANXX:2:1214:11059:24116/1	R1	+	-	+	-	0.540984	0.540984
ERR2061624.8861579 7001289F:109:CB97UANXX:2:2309:8625:12575/1	R1	+	-	+	-	0.000000	0.000000
ERR2061624.8861585 7001289F:109:CB97UANXX:2:2310:9512:80759/1	R1	+	-	+	-	0.495575	0.495575
ERR2061624.8861586 7001289F:109:CB97UANXX:2:2206:5586:9197/1	R1	+	-	+	-	0.851852	0.851852
ERR2061624.8861588 7001289F:109:CB97UANXX:2:2106:2904:47528/1	R1	+	-	+	-	0.446429	0.446429
ERR2061624.8861589 7001289F:109:CB97UANXX:2:1305:2071:17735/1	R1	+	-	+	-	0.000000	0.000000
ERR2061624.8861591 7001289F:109:CB97UANXX:2:1214:15629:66371/1	R1	+	-	+	-	0.446429	0.446429
ERR2061624.8861594 7001289F:109:CB97UANXX:2:1101:1638:15714/1	R1	+	-	+	-	0.446429	0.446429
ERR2061624.8861597 7001289F:109:CB97UANXX:2:1314:7072:98385/1	R1	+	-	+	-	0.703704	0.703704
ERR2061624.8861598 7001289F:109:CB97UANXX:2:1316:19234:4873/1	R1	+	-	+	-	0.433628	0.433628
ERR2061624.8861600 7001289F:109:CB97UANXX:2:1212:8720:24302/1	R1	+	-	+	-	0.433628	0.433628
ERR2061624.8861602 7001289F:109:CB97UANXX:2:1213:4287:49608/1	R1	+	-	+	-	0.433628	0.433628
ERR2061624.8861603 7001289F:109:CB97UANXX:2:1109:13547:55932/1	R1	+	-	+	-	0.433628	0.433628
ERR2061624.8861610 7001289F:109:CB97UANXX:2:1114:3544:6831/1	R1	+	-	+	-	0.433628	0.433628
ERR2061624.8861612 7001289F:109:CB97UANXX:2:2305:12360:69214/1	R1	+	-	+	-	0.446429	0.446429
ERR2061624.8861613 7001289F:109:CB97UANXX:2:2306:2313:33838/1	R1	+	-	+	-	0.902655	0.902655
ERR2061624.8861614 7001289F:109:CB97UANXX:2:2315:14123:49992/1	R1	+	-	+	-	0.446429	0.446429
ERR2061624.8861615 7001289F:109:CB97UANXX:2:2314:4210:47357/1	R1	+	-	+	-	0.433628	0.433628
ERR2061624.8861619 7001289F:109:CB97UANXX:2:2202:7941:33604/1	R1	+	-	+	-	0.457944	0.457944
ERR2061624.8861621 7001289F:109:CB97UANXX:2:2204:10226:6538/1	R1	+	-	+	-	0.457944	0.457944
ERR2061624.8861623 7001289F:109:CB97UANXX:2:2207:17694:86752/1	R1	+	-	+	-	0.759259	0.759259
ERR2061624.8861624 7001289F:109:CB97UANXX:2:2206:4472:79294/1	R1	+	-	+	-	0.457944	0.457944
ERR2061624.8861625 7001289F:109:CB97UANXX:2:2113:17032:96029/1	R1	+	-	+	-	0.457944	0.457944
ERR2061624.8861626 7001289F:109:CB97UANXX:2:2104:15473:19273/1	R1	+	-	+	-	0.515789	0.515789
ERR2061624.8861627 7001289F:109:CB97UANXX:2:1310:17038:27424/1	R1	+	-	+	-	0.000000	0.000000
ERR2061624.8861628 7001289F:109:CB97UANXX:2:2107:6654:61199/1	R1	+	-	+	-	0.457944	0.457944
ERR2061624.8861630 7001289F:109:CB97UANXX:2:1209:6992:66559/1	R1	+	-	+	-	0.457944	0.457944
ERR2061624.8861631 7001289F:109:CB97UANXX:2:1305:11247:81173/1	R1	+	-	+	-	0.000000	0.000000
ERR2061624.8861632 7001289F:109:CB97UANXX:2:1212:12294:32765/1	R1	+	-	+	-	0.302752	0.302752
ERR2061624.8861633 7001289F:109:CB97UANXX:2:1202:2733:80725/1	R1	+	-	+	-	0.515789	0.515789
ERR2061624.8861634 7001289F:109:CB97UANXX:2:1215:14364:22150/1	R1	+	-	+	-	0.000000	0.000000
ERR2061624.8861636 7001289F:109:CB97UANXX:2:1112:13883:80441/1	R1	+	-	+	-	0.457944	0.457944
ERR2061624.8861637 7001289F:109:CB97UANXX:2:1111:4252:19339/1	R1	+	-	+	-	0.457944	0.457944
ERR2061624.8861638 7001289F:109:CB97UANXX:2:1113:15739:59506/1	R1	+	-	+	-	0.540984	0.540984
ERR2061624.8861639 7001289F:109:CB97UANXX:2:1115:6367:13095/1	R1	+	-	+	-	0.500000	0.500000
ERR2061624.8861642 7001289F:109:CB97UANXX:2:1103:15853:31742/1	R1	+	-	+	-	0.457944	0.457944
ERR2061624.8861644 7001289F:109:CB97UANXX:2:1104:11057:46614/1	R1	+	-	+	-	0.466019	0.466019
ERR2061624.8861645 7001289F:109:CB97UANXX:2:2210:5085:90915/1	R1	+	-	+	-	0.457944	0.457944
ERR2061624.8861647 7001289F:109:CB97UANXX:2:2212:13495:54712/1	R1	+	-	+	-	0.471698	0.471698
ERR2061624.8861651 7001289F:109:CB97UANXX:2:2306:3930:31637/1	R1	+	-	+	-	0.457944	0.457944
ERR2061624.8861652 7001289F:109:CB97UANXX:2:2308:2496:60243/1	R1	+	-	+	-	0.000000	0.000000
ERR2061624.8861653 7001289F:109:CB97UANXX:2:2202:5828:62807/1	R1	+	-	+	-	0.457944	0.457944
ERR2061624.8861656 7001289F:109:CB97UANXX:2:2115:4340:25051/1	R1	+	-	+	-	0.101852	0.101852
ERR2061624.8861657 7001289F:109:CB97UANXX:2:1310:19158:52379/1	R1	+	-	+	-	0.000000	0.000000
