2024-12-26T16:29:19
ID	Read	R1_Forward	R1_Reverse	R2_Forward	R2_Reverse	R1_Penalty	R2_Penalty
SRR5239753.11723 HWUSI-EAS168_0000:3:1:2704:7784/1	R1	-	+	-	+	0.000000	0.000000
SRR5239753.19483 HWUSI-EAS168_0000:3:1:4121:16471/1	R1	-	+	-	+	0.333333	0.333333
SRR5239753.19504 HWUSI-EAS168_0000:3:1:4124:19181/1	R1	-	+	-	+	0.774194	0.774194
SRR5239753.23508 HWUSI-EAS168_0000:3:1:4832:8881/1	R1	-	+	-	+	0.640000	0.640000
SRR5239753.26302 HWUSI-EAS168_0000:3:1:5325:6953/1	R1	-	+	-	+	0.000000	0.000000
SRR5239753.29100 HWUSI-EAS168_0000:3:1:5814:2568/1	R1	-	+	-	+	0.000000	0.000000
SRR5239753.31176 HWUSI-EAS168_0000:3:1:6185:8545/1	R1	-	+	-	+	0.520000	0.520000
SRR5239753.32218 HWUSI-EAS168_0000:3:1:6364:17738/1	R1	-	+	-	+	0.973333	0.973333
SRR5239753.32917 HWUSI-EAS168_0000:3:1:6489:17879/1	R1	-	+	-	+	0.138462	0.138462
SRR5239753.33207 HWUSI-EAS168_0000:3:1:6540:19364/1	R1	+	-	+	-	0.000000	0.000000
SRR5239753.35160 HWUSI-EAS168_0000:3:1:6870:7160/1	R1	+	-	+	-	0.000000	0.000000
SRR5239753.42884 HWUSI-EAS168_0000:3:1:8199:5839/1	R1	-	+	-	+	0.178082	0.178082
SRR5239753.46097 HWUSI-EAS168_0000:3:1:8739:17847/1	R1	-	+	-	+	0.000000	0.000000
SRR5239753.49222 HWUSI-EAS168_0000:3:1:9290:9386/1	R1	-	+	-	+	0.000000	0.000000
SRR5239753.51172 HWUSI-EAS168_0000:3:1:9631:16773/1	R1	-	+	-	+	0.188406	0.188406
SRR5239753.51346 HWUSI-EAS168_0000:3:1:9660:14942/1	R1	-	+	-	+	0.000000	0.000000
SRR5239753.51962 HWUSI-EAS168_0000:3:1:9765:15399/1	R1	-	+	-	+	0.000000	0.000000
SRR5239753.53349 HWUSI-EAS168_0000:3:1:9998:16525/1	R1	-	+	-	+	0.000000	0.000000
SRR5239753.54521 HWUSI-EAS168_0000:3:1:10208:5230/1	R1	-	+	-	+	0.155844	0.155844
SRR5239753.57176 HWUSI-EAS168_0000:3:1:10656:19592/1	R1	-	+	-	+	0.902778	0.902778
SRR5239753.60758 HWUSI-EAS168_0000:3:1:11265:16930/1	R1	-	+	-	+	0.000000	0.000000
SRR5239753.61553 HWUSI-EAS168_0000:3:1:11395:19173/1	R1	-	+	-	+	0.194030	0.194030
SRR5239753.65199 HWUSI-EAS168_0000:3:1:12025:8594/1	R1	-	+	-	+	0.287671	0.287671
SRR5239753.68321 HWUSI-EAS168_0000:3:1:12574:18766/1	R1	+	-	+	-	0.000000	0.000000
SRR5239753.69487 HWUSI-EAS168_0000:3:1:12773:14234/1	R1	-	+	-	+	0.000000	0.000000
SRR5239753.72258 HWUSI-EAS168_0000:3:1:13255:20598/1	R1	-	+	-	+	0.223881	0.223881
SRR5239753.73633 HWUSI-EAS168_0000:3:1:13493:4932/1	R1	-	+	-	+	0.187500	0.187500
SRR5239753.75409 HWUSI-EAS168_0000:3:1:13800:13041/1	R1	-	+	-	+	0.371429	0.371429
SRR5239753.78528 HWUSI-EAS168_0000:3:1:14336:4772/1	R1	-	+	-	+	0.445946	0.445946
SRR5239753.80143 HWUSI-EAS168_0000:3:1:14604:11220/1	R1	-	+	-	+	0.304348	0.304348
SRR5239753.84715 HWUSI-EAS168_0000:3:1:15384:1949/1	R1	-	+	-	+	0.647887	0.647887
SRR5239753.86748 HWUSI-EAS168_0000:3:1:15723:20093/1	R1	-	+	-	+	0.000000	0.000000
SRR5239753.90392 HWUSI-EAS168_0000:3:1:16330:19790/1	R1	-	+	-	+	0.661765	0.661765
SRR5239753.92010 HWUSI-EAS168_0000:3:1:16609:2874/1	R1	-	+	-	+	0.000000	0.000000
SRR5239753.95976 HWUSI-EAS168_0000:3:1:17291:20453/1	R1	+	-	+	-	0.000000	0.000000
SRR5239753.97119 HWUSI-EAS168_0000:3:1:17492:2452/1	R1	-	+	-	+	0.432432	0.432432
