2022-07-14T12:08:22
ID	Read	R1_Forward	R1_Reverse	R2_Forward	R2_Reverse	R1_Penalty	R2_Penalty
ERR2061613.537365 7001289F:109:CB97UANXX:1:2307:11351:71363/1	R1	-	+	-	-	0.526316	-
ERR2061613.537376 7001289F:103:C9WFLANXX:3:1310:8160:29032/1	R1	-	+	-	-	0.777778	-
ERR2061613.537435 7001289F:109:CB97UANXX:1:2307:14951:3232/1	R1	-	+	-	-	0.964286	-
ERR2061613.537500 7001289F:109:CB97UANXX:1:2304:3969:57177/2	R2	-	-	-	+	-	0.526316
ERR2061613.537714 7001289F:103:C9WFLANXX:4:2301:6454:26633/1	R1	-	+	-	-	0.850000	-
ERR2061613.538407 7001289F:103:C9WFLANXX:3:1303:7082:33597/2	R2	-	-	-	+	-	0.366667
ERR2061613.538415 7001289F:103:C9WFLANXX:4:2211:21024:51344/1	R1	-	+	-	-	0.580645	-
ERR2061613.538553 7001289F:109:CB97UANXX:1:1313:12703:56588/2	R2	-	-	-	+	-	0.787879
ERR2061613.717654 7001289F:109:CB97UANXX:1:2204:6252:36251/2	R2	-	-	-	+	-	0.904762
ERR2061613.717682 7001289F:103:C9WFLANXX:4:1206:3014:9519/1	R1	-	+	-	-	0.904762	-
ERR2061613.717849 7001289F:109:CB97UANXX:1:2214:5962:27017/2	R2	-	-	-	+	-	0.904762
ERR2061613.717853 7001289F:109:CB97UANXX:1:2205:20316:21655/2	R2	-	-	-	+	-	0.904762
ERR2061613.718013 7001289F:103:C9WFLANXX:3:1114:15382:34907/2	R2	-	-	-	+	-	0.950000
ERR2061613.718020 7001289F:103:C9WFLANXX:3:1309:2949:64555/1	R1	-	+	-	-	0.950000	-
ERR2061613.719395 7001289F:109:CB97UANXX:1:2302:12146:10967/2	R2	-	-	-	+	-	1.000000
ERR2061613.1148971 7001289F:103:C9WFLANXX:3:1214:5044:9606/1	R1	-	+	-	-	0.526316	-
ERR2061613.2139947 7001289F:109:CB97UANXX:1:2113:17738:99694/1	R1	-	+	-	-	0.526316	-
ERR2061613.2143286 7001289F:109:CB97UANXX:1:1111:17543:97052/2	R2	-	-	-	+	-	0.526316
ERR2061613.2143392 7001289F:109:CB97UANXX:1:1309:2845:39157/2	R2	-	-	-	+	-	0.526316
ERR2061613.3936950 7001289F:103:C9WFLANXX:4:1113:4089:87894/1	R1	-	+	-	-	0.736842	-
ERR2061613.6074153 7001289F:109:CB97UANXX:1:1114:11040:95212/2	R2	-	-	+	-	-	0.924528
ERR2061613.6074154 7001289F:109:CB97UANXX:1:1111:15153:55802/2	R2	-	-	+	-	-	0.000000
ERR2061613.6074155 7001289F:103:C9WFLANXX:3:2301:6840:34854/2	R2	-	-	+	-	-	0.446429
ERR2061613.6074156 7001289F:103:C9WFLANXX:3:2301:3458:41534/2	R2	-	-	+	-	-	0.446429
ERR2061613.6074157 7001289F:103:C9WFLANXX:3:2103:6740:16980/1	R1	+	-	-	-	0.446429	-
ERR2061613.6074158 7001289F:103:C9WFLANXX:3:1310:20212:45766/1	R1	+	-	-	-	0.446429	-
ERR2061613.6074159 7001289F:103:C9WFLANXX:3:2104:20025:13987/2	R2	-	-	+	-	-	0.446429
ERR2061613.6074160 7001289F:103:C9WFLANXX:4:2209:17682:6066/1	R1	+	-	-	-	0.000000	-
ERR2061613.6074161 7001289F:103:C9WFLANXX:4:2109:10408:89836/1	R1	+	-	-	-	0.526786	-
ERR2061613.6074162 7001289F:103:C9WFLANXX:4:2106:20002:47239/2	R2	-	-	+	-	-	0.446429
ERR2061613.6074163 7001289F:109:CB97UANXX:1:1302:14661:64199/1	R1	+	-	-	-	0.446429	-
ERR2061613.6074164 7001289F:109:CB97UANXX:1:2108:1697:27850/2	R2	-	-	+	-	-	0.000000
ERR2061613.6074165 7001289F:109:CB97UANXX:1:1115:9930:33382/2	R2	-	-	+	-	-	0.446429
ERR2061613.6074166 7001289F:103:C9WFLANXX:3:1104:10910:57220/1	R1	+	-	-	-	0.550562	-
ERR2061613.6074167 7001289F:103:C9WFLANXX:3:2213:18664:23629/2	R2	-	-	+	-	-	0.500000
ERR2061613.6074168 7001289F:103:C9WFLANXX:3:2304:2541:9481/1	R1	+	-	-	-	0.433628	-
